Year,Program,Category,Expense,Revenue
2013,Affordable Housing Office,Materials & Supplies,12711.98,
2013,Affordable Housing Office,Equipment,2000,
2013,Affordable Housing Office,Service And Rent,170742.19,
2013,Affordable Housing Office,Contribution To Reserves/Reserve Funds,4703.1,
2013,Affordable Housing Office,Inter-Divisional Charges,310254,
2013,Affordable Housing Office,Inter-Divisional Recoveries,,120834.89
2013,Affordable Housing Office,Provincial Subsidies,,1026700
2013,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,339740.66
2014,Affordable Housing Office,Contribution To Reserves/Reserve Funds,4703.1,
2014,Affordable Housing Office,Equipment,2043.98,
2014,Affordable Housing Office,Inter-Divisional Charges,321806,
2014,Affordable Housing Office,Materials & Supplies,12922.7,
2014,Affordable Housing Office,Salaries And Benefits,2230128.23,
2014,Affordable Housing Office,Service And Rent,171548.85,
2014,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,399000
2014,Affordable Housing Office,Inter-Divisional Recoveries,,122653
2014,Affordable Housing Office,Provincial Subsidies,,1026700
2010,Arena Boards of Management,Contribution From Reserves/Reserve Funds,,
2010,Arena Boards of Management,Contribution From Reserves/Reserve Funds,,
2010,Arena Boards of Management,Contributions to Capital,22298,
2010,Arena Boards of Management,Contribution To Reserves/Reserve Funds,161655,
2010,Arena Boards of Management,Equipment,25362,
2010,Arena Boards of Management,Federal Subsidies,,
2010,Arena Boards of Management,Inter-Divisional Charges,,
2010,Arena Boards of Management,Inter-Divisional Recoveries,,250192
2010,Arena Boards of Management,Materials & Supplies,1752854,
2010,Arena Boards of Management,Other Expenditures,6700,
2010,Arena Boards of Management,Other Subsidies,,
2010,Arena Boards of Management,Provincial Subsidies,,
2010,Arena Boards of Management,Salaries And Benefits,3643059,
2010,Arena Boards of Management,Service And Rent,783751,
2010,Arena Boards of Management,Sundry and Other Revenues,,975306
2010,Arena Boards of Management,Transfers from Capital Fund,,
2010,Arena Boards of Management,User Fees & Donations,,5176211
2011,Arena Boards of Management,Contribution From Reserves/Reserve Funds,,
2011,Arena Boards of Management,Contribution From Reserves/Reserve Funds,,
2011,Arena Boards of Management,Contributions to Capital,22046,
2011,Arena Boards of Management,Contribution To Reserves/Reserve Funds,172017,
2011,Arena Boards of Management,Equipment,35500,
2011,Arena Boards of Management,Federal Subsidies,,
2011,Arena Boards of Management,Inter-Divisional Charges,,
2011,Arena Boards of Management,Inter-Divisional Recoveries,,259624
2011,Arena Boards of Management,Materials & Supplies,1826681,
2011,Arena Boards of Management,Other Expenditures,0,
2011,Arena Boards of Management,Other Subsidies,,
2011,Arena Boards of Management,Provincial Subsidies,,
2011,Arena Boards of Management,Salaries And Benefits,3761660,
2011,Arena Boards of Management,Service And Rent,718842,
2011,Arena Boards of Management,Sundry and Other Revenues,,966944
2011,Arena Boards of Management,Transfers from Capital Fund,,
2011,Arena Boards of Management,User Fees & Donations,,5315492
2012,Arena Boards of Management,Contribution From Reserves/Reserve Funds,,0
2012,Arena Boards of Management,Contribution From Reserves/Reserve Funds,,43618
2012,Arena Boards of Management,Contributions to Capital,22046,
2012,Arena Boards of Management,Contribution To Reserves/Reserve Funds,168821,
2012,Arena Boards of Management,Equipment,47200,
2012,Arena Boards of Management,Federal Subsidies,,0
2012,Arena Boards of Management,Inter-Divisional Charges,0,
2012,Arena Boards of Management,Inter-Divisional Recoveries,,0
2012,Arena Boards of Management,Materials & Supplies,1812314,
2012,Arena Boards of Management,Other Expenditures,0,
2012,Arena Boards of Management,Other Subsidies,,0
2012,Arena Boards of Management,Provincial Subsidies,,0
2012,Arena Boards of Management,Salaries And Benefits,3956706,
2012,Arena Boards of Management,Service And Rent,723662,
2012,Arena Boards of Management,Sundry and Other Revenues,,994855
2012,Arena Boards of Management,Transfers from Capital Fund,,0
2012,Arena Boards of Management,User Fees & Donations,,5699736
2013,Arena Boards of Management,Salaries And Benefits,4082722.15,
2013,Arena Boards of Management,Materials & Supplies,1832744.65,
2013,Arena Boards of Management,Equipment,130000,
2013,Arena Boards of Management,Service And Rent,905037,
2013,Arena Boards of Management,Contributions to Capital,165653,
2013,Arena Boards of Management,Contribution To Reserves/Reserve Funds,184547.44,
2013,Arena Boards of Management,User Fees & Donations,,6173566.26
2013,Arena Boards of Management,Contribution From Reserves/Reserve Funds,,51657.57
2013,Arena Boards of Management,Sundry and Other Revenues,,1091213.8
2014,Arena Boards of Management,Contributions to Capital,562023,
2014,Arena Boards of Management,Contribution To Reserves/Reserve Funds,265887.55,
2014,Arena Boards of Management,Equipment,40085,
2014,Arena Boards of Management,Materials & Supplies,2082589.12,
2014,Arena Boards of Management,Salaries And Benefits,4185080.34,
2014,Arena Boards of Management,Service And Rent,1031928.95,
2014,Arena Boards of Management,Sundry and Other Revenues,,992167.79
2014,Arena Boards of Management,User Fees & Donations,,7271234.95
2010,Association of Community Centres,Contribution From Reserves/Reserve Funds,,9300
2010,Association of Community Centres,Contribution From Reserves/Reserve Funds,,
2010,Association of Community Centres,Contributions to Capital,,
2010,Association of Community Centres,Contribution To Reserves/Reserve Funds,24400,
2010,Association of Community Centres,Equipment,4800,
2010,Association of Community Centres,Federal Subsidies,,
2010,Association of Community Centres,Inter-Divisional Charges, ,
2010,Association of Community Centres,Inter-Divisional Recoveries,, 
2010,Association of Community Centres,Materials & Supplies,508500,
2010,Association of Community Centres,Other Expenditures,0,
2010,Association of Community Centres,Other Subsidies,,
2010,Association of Community Centres,Provincial Subsidies,,
2010,Association of Community Centres,Salaries And Benefits,6343700,
2010,Association of Community Centres,Service And Rent,548200,
2010,Association of Community Centres,Sundry and Other Revenues,, 
2010,Association of Community Centres,Transfers from Capital Fund,, 
2010,Association of Community Centres,User Fees & Donations,,179800
2011,Association of Community Centres,Contribution From Reserves/Reserve Funds,,9300
2011,Association of Community Centres,Contribution From Reserves/Reserve Funds,,
2011,Association of Community Centres,Contributions to Capital,,
2011,Association of Community Centres,Contribution To Reserves/Reserve Funds,24400,
2011,Association of Community Centres,Equipment,4000,
2011,Association of Community Centres,Federal Subsidies,,
2011,Association of Community Centres,Inter-Divisional Charges, ,
2011,Association of Community Centres,Inter-Divisional Recoveries,, 
2011,Association of Community Centres,Materials & Supplies,506600,
2011,Association of Community Centres,Other Expenditures,7100,
2011,Association of Community Centres,Other Subsidies,,
2011,Association of Community Centres,Provincial Subsidies,,
2011,Association of Community Centres,Salaries And Benefits,6324400,
2011,Association of Community Centres,Service And Rent,560900,
2011,Association of Community Centres,Sundry and Other Revenues,, 
2011,Association of Community Centres,Transfers from Capital Fund,, 
2011,Association of Community Centres,User Fees & Donations,,192400
2012,Association of Community Centres,Contribution From Reserves/Reserve Funds,,
2012,Association of Community Centres,Contribution From Reserves/Reserve Funds,,
2012,Association of Community Centres,Contributions to Capital,,
2012,Association of Community Centres,Contribution To Reserves/Reserve Funds,25049.4,
2012,Association of Community Centres,Equipment,3990.79633,
2012,Association of Community Centres,Federal Subsidies,,
2012,Association of Community Centres,Inter-Divisional Charges,,
2012,Association of Community Centres,Inter-Divisional Recoveries,,
2012,Association of Community Centres,Materials & Supplies,497287,
2012,Association of Community Centres,Other Expenditures,15800,
2012,Association of Community Centres,Other Subsidies,,
2012,Association of Community Centres,Provincial Subsidies,,
2012,Association of Community Centres,Salaries And Benefits,5924177.16,
2012,Association of Community Centres,Service And Rent,485005.56,
2012,Association of Community Centres,Sundry and Other Revenues,,9300
2012,Association of Community Centres,Transfers from Capital Fund,,
2012,Association of Community Centres,User Fees & Donations,,254700
2013,Association of Community Centres,Salaries And Benefits,6265108.15,
2013,Association of Community Centres,Materials & Supplies,509303,
2013,Association of Community Centres,Equipment,3236,
2013,Association of Community Centres,Service And Rent,619985.58,
2013,Association of Community Centres,Contribution To Reserves/Reserve Funds,22582.26,
2013,Association of Community Centres,Other Expenditures,6700,
2013,Association of Community Centres,User Fees & Donations,,270700
2013,Association of Community Centres,Contribution From Reserves/Reserve Funds,,158618.49
2013,Association of Community Centres,Sundry and Other Revenues,,1500
2014,Association of Community Centres,Contribution To Reserves/Reserve Funds,25850,
2014,Association of Community Centres,Equipment,3337,
2014,Association of Community Centres,Materials & Supplies,436597,
2014,Association of Community Centres,Other Expenditures,7000,
2014,Association of Community Centres,Salaries And Benefits,6372022,
2014,Association of Community Centres,Service And Rent,947770.79,
2014,Association of Community Centres,Contribution From Reserves/Reserve Funds,,339488.79
2014,Association of Community Centres,Sundry and Other Revenues,,1500
2014,Association of Community Centres,User Fees & Donations,,281700
2010,Auditor General's Office,Contribution From Reserves/Reserve Funds,,
2010,Auditor General's Office,Contribution From Reserves/Reserve Funds,,
2010,Auditor General's Office,Contributions to Capital,,
2010,Auditor General's Office,Contribution To Reserves/Reserve Funds,6400,
2010,Auditor General's Office,Equipment,7800,
2010,Auditor General's Office,Federal Subsidies,,
2010,Auditor General's Office,Inter-Divisional Charges,22100,
2010,Auditor General's Office,Inter-Divisional Recoveries,,
2010,Auditor General's Office,Materials & Supplies,15700,
2010,Auditor General's Office,Other Expenditures,,
2010,Auditor General's Office,Other Subsidies,,
2010,Auditor General's Office,Provincial Subsidies,,
2010,Auditor General's Office,Salaries And Benefits,3844500,
2010,Auditor General's Office,Service And Rent,386600,
2010,Auditor General's Office,Sundry and Other Revenues,,
2010,Auditor General's Office,Transfers from Capital Fund,,
2010,Auditor General's Office,User Fees & Donations,,
2011,Auditor General's Office,Contribution From Reserves/Reserve Funds,,
2011,Auditor General's Office,Contribution From Reserves/Reserve Funds,,
2011,Auditor General's Office,Contributions to Capital,,
2011,Auditor General's Office,Contribution To Reserves/Reserve Funds,6500,
2011,Auditor General's Office,Equipment,7500,
2011,Auditor General's Office,Federal Subsidies,,
2011,Auditor General's Office,Inter-Divisional Charges,22270,
2011,Auditor General's Office,Inter-Divisional Recoveries,,
2011,Auditor General's Office,Materials & Supplies,14960,
2011,Auditor General's Office,Other Expenditures,,
2011,Auditor General's Office,Other Subsidies,,
2011,Auditor General's Office,Provincial Subsidies,,
2011,Auditor General's Office,Salaries And Benefits,3749100,
2011,Auditor General's Office,Service And Rent,393500,
2011,Auditor General's Office,Sundry and Other Revenues,,
2011,Auditor General's Office,Transfers from Capital Fund,,
2011,Auditor General's Office,User Fees & Donations,,
2012,Auditor General's Office,Contribution From Reserves/Reserve Funds,,0
2012,Auditor General's Office,Contribution From Reserves/Reserve Funds,,0
2012,Auditor General's Office,Contributions to Capital,0,
2012,Auditor General's Office,Contribution To Reserves/Reserve Funds,6800,
2012,Auditor General's Office,Equipment,7600,
2012,Auditor General's Office,Federal Subsidies,,0
2012,Auditor General's Office,Inter-Divisional Charges,22300,
2012,Auditor General's Office,Inter-Divisional Recoveries,,0
2012,Auditor General's Office,Materials & Supplies,15200,
2012,Auditor General's Office,Other Expenditures,0,
2012,Auditor General's Office,Other Subsidies,,0
2012,Auditor General's Office,Provincial Subsidies,,0
2012,Auditor General's Office,Salaries And Benefits,3814000,
2012,Auditor General's Office,Service And Rent,405400,
2012,Auditor General's Office,Sundry and Other Revenues,,0
2012,Auditor General's Office,Transfers from Capital Fund,,0
2012,Auditor General's Office,User Fees & Donations,,0
2013,Auditor General's Office,Salaries And Benefits,4036673.97,
2013,Auditor General's Office,Materials & Supplies,15455.13,
2013,Auditor General's Office,Equipment,7782.39,
2013,Auditor General's Office,Service And Rent,88655.92,
2013,Auditor General's Office,Contribution To Reserves/Reserve Funds,6840.75,
2013,Auditor General's Office,Inter-Divisional Charges,22272.4,
2014,Auditor General's Office,Contribution To Reserves/Reserve Funds,6840.75,
2014,Auditor General's Office,Equipment,7953.6,
2014,Auditor General's Office,Inter-Divisional Charges,22272.44,
2014,Auditor General's Office,Materials & Supplies,15708.12,
2014,Auditor General's Office,Salaries And Benefits,4541766.04,
2014,Auditor General's Office,Service And Rent,90542.46,
2010,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,300000
2010,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,228577455
2010,Capital & Corporate Finance / Non-Program,Contributions to Capital,165385000,
2010,Capital & Corporate Finance / Non-Program,Contribution To Reserves/Reserve Funds,71087838,
2010,Capital & Corporate Finance / Non-Program,Equipment,0,
2010,Capital & Corporate Finance / Non-Program,Federal Subsidies,,0
2010,Capital & Corporate Finance / Non-Program,Inter-Divisional Charges,20875635,
2010,Capital & Corporate Finance / Non-Program,Inter-Divisional Recoveries,,35299700
2010,Capital & Corporate Finance / Non-Program,Materials & Supplies,15253500,
2010,Capital & Corporate Finance / Non-Program,Other Expenditures,576144665,
2010,Capital & Corporate Finance / Non-Program,Other Subsidies,,0
2010,Capital & Corporate Finance / Non-Program,Provincial Subsidies,,3684000
2010,Capital & Corporate Finance / Non-Program,Salaries And Benefits,79848900,
2010,Capital & Corporate Finance / Non-Program,Service And Rent,317986427.2,
2010,Capital & Corporate Finance / Non-Program,Sundry and Other Revenues,,1012011546
2010,Capital & Corporate Finance / Non-Program,Transfers from Capital Fund,,0
2010,Capital & Corporate Finance / Non-Program,User Fees & Donations,,2205000
2011,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,0
2011,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,198506075
2011,Capital & Corporate Finance / Non-Program,Contributions to Capital,180885000,
2011,Capital & Corporate Finance / Non-Program,Contribution To Reserves/Reserve Funds,78314238,
2011,Capital & Corporate Finance / Non-Program,Equipment,0,
2011,Capital & Corporate Finance / Non-Program,Federal Subsidies,,0
2011,Capital & Corporate Finance / Non-Program,Inter-Divisional Charges,21992563,
2011,Capital & Corporate Finance / Non-Program,Inter-Divisional Recoveries,,35299700
2011,Capital & Corporate Finance / Non-Program,Materials & Supplies,29000450,
2011,Capital & Corporate Finance / Non-Program,Other Expenditures,596909872.8,
2011,Capital & Corporate Finance / Non-Program,Other Subsidies,,0
2011,Capital & Corporate Finance / Non-Program,Provincial Subsidies,,3200448.42
2011,Capital & Corporate Finance / Non-Program,Salaries And Benefits,48330200,
2011,Capital & Corporate Finance / Non-Program,Service And Rent,382742553,
2011,Capital & Corporate Finance / Non-Program,Sundry and Other Revenues,,1074498318
2011,Capital & Corporate Finance / Non-Program,Transfers from Capital Fund,,0
2011,Capital & Corporate Finance / Non-Program,User Fees & Donations,,2250000
2012,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,0
2012,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,233554200
2012,Capital & Corporate Finance / Non-Program,Contributions to Capital,199035000,
2012,Capital & Corporate Finance / Non-Program,Contribution To Reserves/Reserve Funds,101179238,
2012,Capital & Corporate Finance / Non-Program,Equipment,0,
2012,Capital & Corporate Finance / Non-Program,Federal Subsidies,,0
2012,Capital & Corporate Finance / Non-Program,Inter-Divisional Charges,22500694,
2012,Capital & Corporate Finance / Non-Program,Inter-Divisional Recoveries,,35299700
2012,Capital & Corporate Finance / Non-Program,Materials & Supplies,170000,
2012,Capital & Corporate Finance / Non-Program,Other Expenditures,585542340,
2012,Capital & Corporate Finance / Non-Program,Other Subsidies,,0
2012,Capital & Corporate Finance / Non-Program,Provincial Subsidies,,14073800
2012,Capital & Corporate Finance / Non-Program,Salaries And Benefits,49305852,
2012,Capital & Corporate Finance / Non-Program,Service And Rent,414725646,
2012,Capital & Corporate Finance / Non-Program,Sundry and Other Revenues,,909511202
2012,Capital & Corporate Finance / Non-Program,Transfers from Capital Fund,,0
2012,Capital & Corporate Finance / Non-Program,User Fees & Donations,,2253780
2014,Capital & Corporate Finance / Non-Program,Contributions to Capital,240366500,
2014,Capital & Corporate Finance / Non-Program,Contribution To Reserves/Reserve Funds,18911638,
2014,Capital & Corporate Finance / Non-Program,Inter-Divisional Charges,470223,
2014,Capital & Corporate Finance / Non-Program,Other Expenditures,428586000.1,
2014,Capital & Corporate Finance / Non-Program,Contribution From Reserves/Reserve Funds,,29570000
2014,Capital & Corporate Finance / Non-Program,Inter-Divisional Recoveries,,2874457
2014,Capital & Corporate Finance / Non-Program,Provincial Subsidies,,1431000
2014,Capital & Corporate Finance / Non-Program,Sundry and Other Revenues,,2319222
2010,Children's Services,Contribution From Reserves/Reserve Funds,,
2010,Children's Services,Contribution From Reserves/Reserve Funds,,20341700
2010,Children's Services,Contributions to Capital,0,
2010,Children's Services,Contribution To Reserves/Reserve Funds,1331400,
2010,Children's Services,Equipment,650900,
2010,Children's Services,Federal Subsidies,,
2010,Children's Services,Inter-Divisional Charges,4204400,
2010,Children's Services,Inter-Divisional Recoveries,,10400000
2010,Children's Services,Materials & Supplies,4290700,
2010,Children's Services,Other Expenditures,1034100,
2010,Children's Services,Other Subsidies,,
2010,Children's Services,Provincial Subsidies,,264448100
2010,Children's Services,Salaries And Benefits,72322800,
2010,Children's Services,Service And Rent,295744100,
2010,Children's Services,Sundry and Other Revenues,,
2010,Children's Services,Transfers from Capital Fund,,
2010,Children's Services,User Fees & Donations,,13601400
2011,Children's Services,Contribution From Reserves/Reserve Funds,,
2011,Children's Services,Contribution From Reserves/Reserve Funds,,20008800
2011,Children's Services,Contributions to Capital,0,
2011,Children's Services,Contribution To Reserves/Reserve Funds,1147400,
2011,Children's Services,Equipment,1012100,
2011,Children's Services,Federal Subsidies,,
2011,Children's Services,Inter-Divisional Charges,3294800,
2011,Children's Services,Inter-Divisional Recoveries,,10300000
2011,Children's Services,Materials & Supplies,3783500,
2011,Children's Services,Other Expenditures,1028700,
2011,Children's Services,Other Subsidies,,
2011,Children's Services,Provincial Subsidies,,267449300
2011,Children's Services,Salaries And Benefits,73926800,
2011,Children's Services,Service And Rent,303345100,
2011,Children's Services,Sundry and Other Revenues,,
2011,Children's Services,Transfers from Capital Fund,,
2011,Children's Services,User Fees & Donations,,15871500
2012,Children's Services,Contribution From Reserves/Reserve Funds,,
2012,Children's Services,Contribution From Reserves/Reserve Funds,,19641000
2012,Children's Services,Contributions to Capital,0,
2012,Children's Services,Contribution To Reserves/Reserve Funds,1144365,
2012,Children's Services,Equipment,713950,
2012,Children's Services,Federal Subsidies,,0
2012,Children's Services,Inter-Divisional Charges,3429000,
2012,Children's Services,Inter-Divisional Recoveries,,10200000
2012,Children's Services,Materials & Supplies,3249400,
2012,Children's Services,Other Expenditures,1034100,
2012,Children's Services,Other Subsidies,,0
2012,Children's Services,Provincial Subsidies,,268976700
2012,Children's Services,Salaries And Benefits,74833100,
2012,Children's Services,Service And Rent,308087600,
2012,Children's Services,Sundry and Other Revenues,,0
2012,Children's Services,Transfers from Capital Fund,,1027000
2012,Children's Services,User Fees & Donations,,16844500
2013,Children's Services,Salaries And Benefits,76850567,
2013,Children's Services,Materials & Supplies,3160929,
2013,Children's Services,Equipment,698990,
2013,Children's Services,Service And Rent,316049432.9,
2013,Children's Services,Contribution To Reserves/Reserve Funds,1178949,
2013,Children's Services,Other Expenditures,1031200,
2013,Children's Services,Inter-Divisional Charges,3365438,
2013,Children's Services,Inter-Divisional Recoveries,,10200000
2013,Children's Services,Provincial Subsidies,,279722600
2013,Children's Services,User Fees & Donations,,17954500
2013,Children's Services,Transfers from Capital Fund,,1014000
2013,Children's Services,Contribution From Reserves/Reserve Funds,,16727936
2014,Children's Services,Contribution To Reserves/Reserve Funds,1178949,
2014,Children's Services,Equipment,630320,
2014,Children's Services,Inter-Divisional Charges,3583460,
2014,Children's Services,Materials & Supplies,2591699,
2014,Children's Services,Other Expenditures,694500,
2014,Children's Services,Salaries And Benefits,80237542.1,
2014,Children's Services,Service And Rent,332816717.8,
2014,Children's Services,Contribution From Reserves/Reserve Funds,,15919025
2014,Children's Services,Inter-Divisional Recoveries,,10200000
2014,Children's Services,Provincial Subsidies,,298298770
2014,Children's Services,Transfers from Capital Fund,,1561500
2014,Children's Services,User Fees & Donations,,19037500
2010,City Clerk's Office,Contribution From Reserves/Reserve Funds,,
2010,City Clerk's Office,Contribution From Reserves/Reserve Funds,,5560300
2010,City Clerk's Office,Contributions to Capital,,
2010,City Clerk's Office,Contribution To Reserves/Reserve Funds,443400,
2010,City Clerk's Office,Equipment,332600,
2010,City Clerk's Office,Federal Subsidies,,
2010,City Clerk's Office,Inter-Divisional Charges,2360200,
2010,City Clerk's Office,Inter-Divisional Recoveries,,13925000
2010,City Clerk's Office,Materials & Supplies,2327200,
2010,City Clerk's Office,Other Expenditures,38000,
2010,City Clerk's Office,Other Subsidies,,
2010,City Clerk's Office,Provincial Subsidies,,
2010,City Clerk's Office,Salaries And Benefits,42139900,
2010,City Clerk's Office,Service And Rent,12283500,
2010,City Clerk's Office,Sundry and Other Revenues,,890400
2010,City Clerk's Office,Transfers from Capital Fund,,2490600
2010,City Clerk's Office,User Fees & Donations,,401400
2011,City Clerk's Office,Contribution From Reserves/Reserve Funds,,0
2011,City Clerk's Office,Contribution From Reserves/Reserve Funds,,3921000
2011,City Clerk's Office,Contributions to Capital,,
2011,City Clerk's Office,Contribution To Reserves/Reserve Funds,443400,
2011,City Clerk's Office,Equipment,147600,
2011,City Clerk's Office,Federal Subsidies,,5000
2011,City Clerk's Office,Inter-Divisional Charges,1812900,
2011,City Clerk's Office,Inter-Divisional Recoveries,,12442400
2011,City Clerk's Office,Materials & Supplies,1584200,
2011,City Clerk's Office,Other Expenditures,44500,
2011,City Clerk's Office,Other Subsidies,,
2011,City Clerk's Office,Provincial Subsidies,,
2011,City Clerk's Office,Salaries And Benefits,37485600,
2011,City Clerk's Office,Service And Rent,7956400,
